 ----   2024-10-09 08:40:37 ---- 
 160.75.25.62 is reachable, taken time: 32.80 ms
 185.45.67.130 is reachable, taken time: 51.82 ms
 185.104.182.64 is reachable, taken time: 1253.82 ms
 79.139.60.97 is reachable, taken time: 59.62 ms
 85.239.69.14 is reachable, taken time: 567.71 ms
 141.101.90.96 is reachable, taken time: 120.65 ms
 195.72.120.33 is reachable, taken time: 289.78 ms
 185.18.139.126 is reachable, taken time: 338.05 ms
 104.17.157.36 is reachable, taken time: 19.12 ms
 23.227.38.74 is reachable, taken time: 163.31 ms

 ----   2024-10-09 08:42:08 ---- 
 160.75.25.62 is reachable, taken time: 19.72 ms
 185.45.67.130 is reachable, taken time: 53.62 ms
 185.104.182.64 is reachable, taken time: 705.10 ms
 79.139.60.97 is reachable, taken time: 69.26 ms
 85.239.69.14 is reachable, taken time: 354.91 ms
 141.101.90.96 is reachable, taken time: 119.61 ms
 195.72.120.33 is reachable, taken time: 131.98 ms
 185.18.139.126 is reachable, taken time: 132.74 ms
 104.17.157.36 is reachable, taken time: 18.76 ms
 23.227.38.74 is reachable, taken time: 18.71 ms

 ----   2024-10-09 08:44:08 ---- 
 160.75.25.62 is reachable, taken time: 18.73 ms
 185.45.67.130 is reachable, taken time: 51.19 ms
 185.104.182.64 is reachable, taken time: 739.23 ms
 79.139.60.97 is reachable, taken time: 70.43 ms
 85.239.69.14 is reachable, taken time: 339.12 ms
 141.101.90.96 is reachable, taken time: 117.51 ms
 195.72.120.33 is reachable, taken time: 129.26 ms
 185.18.139.126 is reachable, taken time: 134.23 ms
 104.17.157.36 is reachable, taken time: 21.30 ms
 23.227.38.74 is reachable, taken time: 16.64 ms

 ----   2024-10-09 08:46:13 ---- 
 160.75.25.62 is reachable, taken time: 16.06 ms
 185.45.67.130 is reachable, taken time: 49.14 ms
 185.104.182.64 is reachable, taken time: 819.09 ms
 79.139.60.97 is reachable, taken time: 56.69 ms
 85.239.69.14 is reachable, taken time: 465.05 ms
 141.101.90.96 is reachable, taken time: 118.80 ms
 195.72.120.33 is reachable, taken time: 130.79 ms
 185.18.139.126 is reachable, taken time: 133.42 ms
 104.17.157.36 is reachable, taken time: 25.30 ms
 23.227.38.74 is reachable, taken time: 19.22 ms

 ----   2024-10-09 08:48:04 ---- 
 160.75.25.62 is reachable, taken time: 17.92 ms
 185.45.67.130 is reachable, taken time: 53.60 ms
 185.104.182.64 is reachable, taken time: 825.15 ms
 79.139.60.97 is reachable, taken time: 63.12 ms
 85.239.69.14 is reachable, taken time: 705.79 ms
 141.101.90.96 is reachable, taken time: 116.91 ms
 195.72.120.33 is reachable, taken time: 125.25 ms
 185.18.139.126 is reachable, taken time: 158.51 ms
 104.17.157.36 is reachable, taken time: 18.39 ms
 23.227.38.74 is reachable, taken time: 24.19 ms

 ----   2024-10-09 08:50:26 ---- 
 160.75.25.62 is reachable, taken time: 24.26 ms
 185.45.67.130 is reachable, taken time: 54.72 ms
 185.104.182.64 is reachable, taken time: 851.74 ms
 79.139.60.97 is reachable, taken time: 69.00 ms
 85.239.69.14 is reachable, taken time: 345.91 ms
 141.101.90.96 is reachable, taken time: 129.72 ms
 195.72.120.33 is reachable, taken time: 139.58 ms
 185.18.139.126 is reachable, taken time: 133.04 ms
 104.17.157.36 is reachable, taken time: 43.99 ms
 23.227.38.74 is reachable, taken time: 22.31 ms

 ----   2024-10-09 08:52:26 ---- 
 160.75.25.62 is reachable, taken time: 20.24 ms
 185.45.67.130 is reachable, taken time: 114.25 ms
 185.104.182.64 is reachable, taken time: 805.25 ms
 79.139.60.97 is reachable, taken time: 84.66 ms
 85.239.69.14 is reachable, taken time: 604.77 ms
 141.101.90.96 is reachable, taken time: 154.72 ms
 195.72.120.33 is reachable, taken time: 144.12 ms
 185.18.139.126 is reachable, taken time: 203.85 ms
 104.17.157.36 is reachable, taken time: 18.46 ms
 23.227.38.74 is reachable, taken time: 20.78 ms

 ----   2024-10-09 08:54:09 ---- 
 160.75.25.62 is reachable, taken time: 22.97 ms
 185.45.67.130 is reachable, taken time: 49.76 ms
 185.104.182.64 is reachable, taken time: 868.87 ms
 79.139.60.97 is reachable, taken time: 91.20 ms
 85.239.69.14 is reachable, taken time: 533.34 ms
 141.101.90.96 is reachable, taken time: 119.12 ms
 195.72.120.33 is reachable, taken time: 129.68 ms
 185.18.139.126 is reachable, taken time: 133.08 ms
 104.17.157.36 is reachable, taken time: 20.17 ms
 23.227.38.74 is reachable, taken time: 23.49 ms

 ----   2024-10-09 08:56:31 ---- 
 160.75.25.62 is reachable, taken time: 19.07 ms
 185.45.67.130 is reachable, taken time: 50.04 ms
 185.104.182.64 is reachable, taken time: 849.55 ms
 79.139.60.97 is reachable, taken time: 68.14 ms
 85.239.69.14 is reachable, taken time: 347.49 ms
 141.101.90.96 is reachable, taken time: 117.99 ms
 195.72.120.33 is reachable, taken time: 431.43 ms
 185.18.139.126 is reachable, taken time: 129.22 ms
 104.17.157.36 is reachable, taken time: 20.01 ms
 23.227.38.74 is reachable, taken time: 20.31 ms

 ----   2024-10-09 08:58:05 ---- 
 160.75.25.62 is reachable, taken time: 28.78 ms
 185.45.67.130 is reachable, taken time: 50.95 ms
 185.104.182.64 is reachable, taken time: 757.21 ms
 79.139.60.97 is reachable, taken time: 56.09 ms
 85.239.69.14 is reachable, taken time: 455.65 ms
 141.101.90.96 is reachable, taken time: 119.85 ms
 195.72.120.33 is reachable, taken time: 125.98 ms
 185.18.139.126 is reachable, taken time: 128.58 ms
 104.17.157.36 is reachable, taken time: 17.97 ms
 23.227.38.74 is reachable, taken time: 19.39 ms

 ----   2024-10-09 14:02:30 ---- 
 160.75.25.62 is reachable, taken time: 22.61 ms
 185.45.67.130 is reachable, taken time: 54.38 ms
 185.104.182.64 is reachable, taken time: 1380.74 ms
 79.139.60.97 is reachable, taken time: 56.37 ms
 85.239.69.14 is reachable, taken time: 482.81 ms
 141.101.90.96 is reachable, taken time: 104.19 ms
 195.72.120.33 is reachable, taken time: 134.33 ms
 185.18.139.126 is reachable, taken time: 143.69 ms
 104.17.157.36 is reachable, taken time: 29.59 ms
 23.227.38.74 is reachable, taken time: 35.03 ms

 ----   2024-10-09 14:04:06 ---- 
 160.75.25.62 is reachable, taken time: 28.63 ms
 185.45.67.130 is reachable, taken time: 53.36 ms
 185.104.182.64 is reachable, taken time: 926.14 ms
 79.139.60.97 is reachable, taken time: 51.69 ms
 85.239.69.14 is reachable, taken time: 437.61 ms
 141.101.90.96 is reachable, taken time: 103.20 ms
 195.72.120.33 is reachable, taken time: 133.29 ms
 185.18.139.126 is reachable, taken time: 127.06 ms
 104.17.157.36 is reachable, taken time: 19.46 ms
 23.227.38.74 is reachable, taken time: 20.92 ms

 ----   2024-10-09 14:06:09 ---- 
 160.75.25.62 is reachable, taken time: 21.75 ms
 185.45.67.130 is reachable, taken time: 52.55 ms
 185.104.182.64 is reachable, taken time: 849.87 ms
 79.139.60.97 is reachable, taken time: 51.86 ms
 85.239.69.14 is reachable, taken time: 335.91 ms
 141.101.90.96 is reachable, taken time: 128.41 ms
 195.72.120.33 is reachable, taken time: 132.27 ms
 185.18.139.126 is reachable, taken time: 134.60 ms
 104.17.157.36 is reachable, taken time: 27.35 ms
 23.227.38.74 is reachable, taken time: 28.32 ms

 ----   2024-10-09 14:08:04 ---- 
 160.75.25.62 is reachable, taken time: 27.81 ms
 185.45.67.130 is reachable, taken time: 52.14 ms
 185.104.182.64 is reachable, taken time: 907.25 ms
 79.139.60.97 is reachable, taken time: 52.63 ms
 85.239.69.14 is reachable, taken time: 370.58 ms
 141.101.90.96 is reachable, taken time: 103.48 ms
 195.72.120.33 is reachable, taken time: 129.86 ms
 185.18.139.126 is reachable, taken time: 129.33 ms
 104.17.157.36 is reachable, taken time: 22.59 ms
 23.227.38.74 is reachable, taken time: 23.34 ms

 ----   2024-10-09 14:10:09 ---- 
 160.75.25.62 is reachable, taken time: 20.43 ms
 185.45.67.130 is reachable, taken time: 51.91 ms
 185.104.182.64 is reachable, taken time: 909.96 ms
 79.139.60.97 is reachable, taken time: 51.74 ms
 85.239.69.14 is reachable, taken time: 572.05 ms
 141.101.90.96 is reachable, taken time: 106.57 ms
 195.72.120.33 is reachable, taken time: 137.65 ms
 185.18.139.126 is reachable, taken time: 126.58 ms
 104.17.157.36 is reachable, taken time: 21.60 ms
 23.227.38.74 is reachable, taken time: 21.87 ms

 ----   2024-10-09 14:12:07 ---- 
 160.75.25.62 is reachable, taken time: 27.01 ms
 185.45.67.130 is reachable, taken time: 75.88 ms
 185.104.182.64 is reachable, taken time: 973.24 ms
 79.139.60.97 is reachable, taken time: 53.98 ms
 85.239.69.14 is reachable, taken time: 497.68 ms
 141.101.90.96 is reachable, taken time: 139.12 ms
 195.72.120.33 is reachable, taken time: 132.71 ms
 185.18.139.126 is reachable, taken time: 134.15 ms
 104.17.157.36 is reachable, taken time: 47.88 ms
 23.227.38.74 is reachable, taken time: 69.94 ms

 ----   2024-10-09 14:14:07 ---- 
 160.75.25.62 is reachable, taken time: 20.65 ms
 185.45.67.130 is reachable, taken time: 51.80 ms
 185.104.182.64 is reachable, taken time: 857.39 ms
 79.139.60.97 is reachable, taken time: 57.61 ms
 85.239.69.14 is reachable, taken time: 341.55 ms
 141.101.90.96 is reachable, taken time: 102.20 ms
 195.72.120.33 is reachable, taken time: 130.61 ms
 185.18.139.126 is reachable, taken time: 129.78 ms
 104.17.157.36 is reachable, taken time: 25.05 ms
 23.227.38.74 is reachable, taken time: 25.19 ms

 ----   2024-10-09 14:16:03 ---- 
 160.75.25.62 is reachable, taken time: 22.37 ms
 185.45.67.130 is reachable, taken time: 53.59 ms
 185.104.182.64 is reachable, taken time: 817.73 ms
 79.139.60.97 is reachable, taken time: 56.29 ms
 85.239.69.14 is reachable, taken time: 492.73 ms
 141.101.90.96 is reachable, taken time: 99.71 ms
 195.72.120.33 is reachable, taken time: 131.36 ms
 185.18.139.126 is reachable, taken time: 133.01 ms
 104.17.157.36 is reachable, taken time: 25.07 ms
 23.227.38.74 is reachable, taken time: 25.24 ms

 ----   2024-10-09 14:18:06 ---- 
 160.75.25.62 is reachable, taken time: 21.53 ms
 185.45.67.130 is reachable, taken time: 52.92 ms
 185.104.182.64 is reachable, taken time: 832.97 ms
 79.139.60.97 is reachable, taken time: 55.54 ms
 85.239.69.14 is reachable, taken time: 400.27 ms
 141.101.90.96 is reachable, taken time: 101.83 ms
 195.72.120.33 is reachable, taken time: 131.75 ms
 185.18.139.126 is reachable, taken time: 136.23 ms
 104.17.157.36 is reachable, taken time: 24.29 ms
 23.227.38.74 is reachable, taken time: 27.73 ms

 ----   2024-10-09 14:20:03 ---- 
 160.75.25.62 is reachable, taken time: 18.11 ms
 185.45.67.130 is reachable, taken time: 55.47 ms
 185.104.182.64 is reachable, taken time: 948.98 ms
 79.139.60.97 is reachable, taken time: 62.35 ms
 85.239.69.14 is reachable, taken time: 999.51 ms
 141.101.90.96 is reachable, taken time: 98.61 ms
 195.72.120.33 is reachable, taken time: 136.82 ms
 185.18.139.126 is reachable, taken time: 127.65 ms
 104.17.157.36 is reachable, taken time: 32.17 ms
 23.227.38.74 is reachable, taken time: 24.60 ms

 ----   2024-10-09 20:32:33 ---- 
 160.75.25.62 is reachable, taken time: 21.30 ms
 185.45.67.130 is reachable, taken time: 51.87 ms
 185.104.182.64 is reachable, taken time: 937.77 ms
 79.139.60.97 is reachable, taken time: 69.21 ms
 85.239.69.14 is reachable, taken time: 518.02 ms
 141.101.90.96 is reachable, taken time: 113.46 ms
 195.72.120.33 is reachable, taken time: 128.63 ms
 185.18.139.126 is reachable, taken time: 130.60 ms
 104.17.157.36 is reachable, taken time: 22.61 ms
 23.227.38.74 is reachable, taken time: 23.97 ms

 ----   2024-10-09 20:34:06 ---- 
 160.75.25.62 is reachable, taken time: 21.62 ms
 185.45.67.130 is reachable, taken time: 52.73 ms
 185.104.182.64 is reachable, taken time: 893.17 ms
 79.139.60.97 is reachable, taken time: 69.75 ms
 85.239.69.14 is reachable, taken time: 351.90 ms
 141.101.90.96 is reachable, taken time: 114.59 ms
 195.72.120.33 is reachable, taken time: 144.72 ms
 185.18.139.126 is reachable, taken time: 141.27 ms
 104.17.157.36 is reachable, taken time: 30.01 ms
 23.227.38.74 is reachable, taken time: 29.49 ms

